"Cod. Tabla";"Cod.Producto";"Grupo";"Precio Venta";
"500";"004433";"0902";"9082,1355";
"500";"004434";"0902";"9082,1355";
"500";"004435";"0170";"20023,867";
"500";"004436";"0902";"20023,867";
"500";"004437";"0170";"28179,382";
"500";"004438";"0170";"97100,1975";
"500";"004439";"0170";"453199,896";
"500";"004440";"0170";"28179,3615";
"500";"004441";"0170";"97100,1975";
"500";"004442";"0170";"453199,896";
"500";"004443";"0152";"20805,064";
"500";"004444";"0152";"77795,545";
"500";"004445";"0152";"20805,064";
"500";"004446";"0152";"77795,545";
"500";"004447";"0152";"20805,064";
"500";"004448";"0152";"77795,545";
"500";"004468";"0152";"142459,653";
"500";"004471";"0150";"113593,083";
"500";"004488";"0191";"12183,929";
"500";"004504";"0152";"13319,001";
"500";"004505";"0152";"20804,903";
"500";"004506";"0152";"77795,637";
"500";"004507";"0152";"11844,77";
"500";"004508";"0152";"18489,102";
"500";"004509";"0152";"68613,232";
"500";"004511";"0902";"28725,39";
"500";"004514";"0902";"113548,188";
"500";"004525";"0152";"36470,64";
"500";"004526";"0152";"74972,898";
"500";"004527";"0152";"142459,653";
"500";"004528";"0152";"36470,456";
"500";"004529";"0152";"74972,772";
"500";"004530";"0152";"142459,548";
"500";"004531";"0152";"36470,456";
"500";"004532";"0152";"74972,772";
"500";"004533";"0152";"142459,548";
"500";"004536";"0152";"142459,548";
"500";"004537";"0152";"36470,456";
"500";"004538";"0152";"74972,772";
"500";"004539";"0152";"142459,548";
"500";"004540";"0152";"36470,456";
"500";"004544";"0152";"13319,001";
"500";"004545";"0152";"20805,064";
"500";"004546";"0152";"77795,545";
"500";"004547";"0152";"11844,77";
"500";"004548";"0152";"18489,056";
"500";"004549";"0152";"68613,025";
"500";"004550";"0152";"18489,056";
"500";"004551";"0152";"68613,025";
"500";"004553";"0152";"20805,064";
"500";"004554";"0152";"77795,545";
"500";"004555";"0152";"20805,064";
"500";"004556";"0152";"77795,545";
"500";"004558";"0152";"74972,772";
"500";"004559";"0152";"142459,254";
"500";"004560";"0150";"28342,556";
"500";"004561";"0150";"100233,144";
"500";"004562";"0150";"28342,534";
"500";"004563";"0150";"100233,144";
"500";"004564";"0150";"28342,534";
"500";"004565";"0150";"100233,144";
"500";"004576";"0130";"106612,1975";
"500";"004577";"0163";"53299,029";
"500";"004581";"0150";"8158,59";
"500";"004582";"0150";"8158,634";
"500";"004583";"0150";"13260,17";
"500";"004584";"0150";"44645,678";
"500";"004585";"0150";"193683,2005";
"500";"004588";"0152";"25413,459";
"500";"004589";"0152";"97408,731";
"500";"004590";"0152";"25413,413";
"500";"004591";"0152";"84745,605";
"500";"004592";"0152";"25413,183";
"500";"004593";"0152";"84745,605";
"500";"004594";"0152";"25413,413";
"500";"004595";"0152";"84745,605";
"500";"004596";"0152";"25413,459";
"500";"004597";"0152";"84745,605";
"500";"004598";"0152";"25413,183";
"500";"004599";"0152";"84745,605";
"500";"004600";"0152";"25413,183";
"500";"004601";"0152";"84745,605";
"500";"004602";"0152";"25413,183";
