"Codigo";"Descripcion";"Capacidad";"Grupo";"TS Estandar";
"000100";"IMPERMEABILIZANTE PARA FRENTES Y MUROS ALBAFRENT MATE BLANCO X 10";"010000";"0107";"503";
"000101";"DESOXIDANTE COLORIN X 1";"001001";"0116";"503";
"000102";"PROMOTOR ADHESION PARA PLASTICO MMB X 1";"001001";"0137";"503";
"000103";"LLANA DENTADA SANTA JUANA 30 4X4";"001000";"0148";"503";
"000104";"LATEX INTERIOR COLORIN ACRYLATEX MATE BLANCO X 10";"010000";"0116";"503";
"000105";"ESMALTE PARA AZULEJOS ALBA AL AGUA BRILLANTE X 0,900";"000900";"0107";"503";
"000106";"ESMALTE PARA AZULEJOS ALBA AL AGUA BRILLANTE X 3,600";"003600";"0107";"503";
"000107";"FERRO BET CLASSIC BTE.BLANCO X 0,250";"000250";"0123";"503";
"000108";"CUCHARA WELBY CUCHARIN N 5 1/2 (CU08)";"001000";"0176";"503";
"000109";"FIJADOR PARA PARED COLORIN AL AGUA X 20";"020000";"0116";"503";
"000110";"LATEX INTERIOR ALBALATEX MATE BLANCO X  1";"001001";"0107";"503";
"000111";"LATEX INTERIOR ALBALATEX MATE BLANCO X  4";"004000";"0107";"503";
"000112";"FRATACHO PLASTICO 30CM CON GOMA ESPUMA (FR08)";"001000";"0176";"503";
"000113";"LATEX INTERIOR ALBALATEX MATE BLANCO X 20";"020000";"0107";"503";
"000114";"LATEX INTERIOR ALBALATEX DESIGN SATINADO BLANCO X  1";"001001";"0107";"503";
"000115";"LATEX INTERIOR ALBALATEX DESIGN SATINADO BLANCO X  4";"004000";"0107";"503";
"000116";"LATEX INTERIOR ALBALATEX DESIGN SATINADO BLANCO X 10";"010000";"0107";"503";
"000117";"LATEX INTERIOR ALBALATEX DESIGN SATINADO BLANCO X 20";"020000";"0107";"503";
"000118";"LATEX PARA CIELORRASOS ALBA MATE BLANCO X  1";"001001";"0107";"503";
"000119";"LATEX PARA CIELORRASOS ALBA MATE BLANCO X  4";"004000";"0107";"503";
"000120";"FRATACHO DE PINO 30CM (FR11)";"001000";"0176";"503";
"000121";"LATEX PARA CIELORRASOS ALBA MATE BLANCO X 20";"020000";"0107";"503";
"000122";"MART.HAMMERITE GRIS X 0,225";"000225";"0902";"503";
"000123";"AEROSOL RUST-OLEUM IMPRIMANTE PLASTICO PRIMER BLANCO X 0,340 (249323)";"000340";"0902";"503";
"000124";"AEROSOL RUST-OLEUM IMPRIMANTE PLASTICO PRIMER GRIS X 0,340 (252472/371258)";"000340";"0902";"503";
"000125";"CARDENAL LATEX P/EXTERIOR X 4";"004000";"0902";"503";
"000126";"ESMALTE SINTETICO COLORIN SATINE SATINADO BLANCO X 0,500";"000500";"0116";"503";
"000127";"EXTENSOR TELESCOPICO 4 (2,50-4,80)";"001000";"0147";"503";
"000128";"LACA PARA PISO PETRILAC PLASTILAC X 1";"001001";"0138";"503";
"000129";"LACA PARA PISO PETRILAC PLASTILAC X 4";"004000";"0138";"503";
"000130";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE BLANCO X  0,250";"000250";"0152";"503";
"000131";"ESMALTE SINTETICO TERSUAVE 2EN1 MATE BLANCO X 20";"020000";"0152";"503";
"000132";"LATEX PARA CIELORRASOS ALBA MATE BLANCO X 10";"010000";"0107";"503";
"000133";"ENTONADOR UNIVERSAL TONALBA 001 AMARILLO X 0,030";"000030";"0107";"503";
"000134";"ENTONADOR UNIVERSAL TONALBA 002 BERMELLON X 0,030";"000030";"0107";"503";
"000135";"ENTONADOR UNIVERSAL TONALBA 003 OCRE X 0,030";"000030";"0107";"503";
"000136";"ENTONADOR UNIVERSAL TONALBA 004 VERDE CLARO X 0,030";"000030";"0107";"503";
"000137";"ENTONADOR UNIVERSAL TONALBA 005 VERDE OSCURO X 0,030";"000030";"0107";"503";
"000138";"ENTONADOR UNIVERSAL TONALBA 006 AZUL X 0,030";"000030";"0107";"503";
"000139";"ENTONADOR UNIVERSAL TONALBA 007 CEDRO X 0,030";"000030";"0107";"503";
"000140";"ENTONADOR UNIVERSAL TONALBA 008 SIENA X 0,030";"000030";"0107";"503";
"000141";"ENTONADOR UNIVERSAL TONALBA 009 NEGRO X 0,030";"000030";"0107";"503";
"000142";"ENTONADOR UNIVERSAL TONALBA 010 NARANJA X 0,030";"000030";"0107";"503";
"000143";"ENTONADOR UNIVERSAL TONALBA 011 VIOLETA X 0,030";"000030";"0107";"503";
"000144";"ENTONADOR UNIVERSAL TONALBA 001 AMARILLO X 0,120";"000120";"0107";"503";
